,Recipe_Index,all_purpose_flour,baking_powder,baking_soda,butter,egg,salt,sugar,vanilla,light_brown_sugar,dark_brown_sugar,bittersweet_chocolate_chip,semisweet_chocolate_chip,milk_chocolate_chip
1,AR_1,3,0,1,1,2,0.5,1,2,1,0,0,2,0
2,AR_10,2.8,0,0.8,0.533333333,1.6,0.8,0.8,2.4,0.8,0,0,1.6,0
3,AR_101,1.107692308,0.738461538,0.738461538,0,1.476923077,0.276923077,0.738461538,1.107692308,0.738461538,0,0,0.99,0.325
4,AR_102,3.333333333,0,1.333333333,0.666666667,2.666666667,0,0.333333333,1.333333333,1,0,0,2,0
5,AR_103,2,0,0.9,0.8,1.6,0.8,0.4,2.4,0.4,0,0,1.2,0
6,AR_107,9,0,4,0,8,2,3,0,3,0,0,12,0
7,AR_108,0.857142857,0,0.571428571,0,1.142857143,0.571428571,0.285714286,0.571428571,0.571428571,0,0,1.142857143,0
8,AR_109,2.666666667,0,1.333333333,0,1.333333333,0.666666667,0.666666667,1.333333333,0.666666667,0,0,1.333333333,0
9,AR_11,3.333333333,0,1.333333333,1.333333333,2.666666667,1.333333333,0.666666667,1.333333333,1.333333333,0,0,2.666666667,0
10,AR_110,4,0,1,1,1,1,1,1,1,0,0,2,0
11,AR_111,5,0,1,1,4,0,1,2,2,0,0,3,0
12,AR_116,1.125,0,0.25,0,1,0.25,0.5,1,0.25,0,0,1.25,0
13,AR_118,2,0,0.8,0,1.6,0.8,0.8,1.6,0.4,0,0,1.2,0
14,AR_119,3.5,1,1,1.5,2,0,1.25,3,1.25,0,0,2,0
15,AR_12,2.5,0,1,1,2,1,0.5,2,1,0,0,1.5,0
16,AR_128,4.5,0,2,2,4,2,1.5,2,1.5,0,0,4,0
17,AR_13,4.5,0,2,0,4,2,1,2,2,0,0,4,0
18,AR_14,1.333333333,0.666666667,0.666666667,0.666666667,1.333333333,0.666666667,0.666666667,1.333333333,0.666666667,0,0,2,0
19,AR_140,3.111111111,0,1.333333333,1.333333333,2.666666667,0,1,1.333333333,1,0,0,2.666666667,0
20,AR_141,3.333333333,0,1.333333333,0,2.666666667,1.333333333,0,1.333333333,1.333333333,0,0,2.666666667,0
21,AR_142,3,0,2,1,4,1,1.5,3,1.5,0,0,3,0
22,AR_144,2,0,1,1,2,1,1,2,1,0,0,2,0
23,AR_15,2.25,0,1,0,2,0,0.25,1,0.75,0,0,2,0
24,AR_155,3,0,1.333333333,1.333333333,2.666666667,0,0.333333333,1.333333333,1,0,0,2.666666667,0
25,AR_156,8,0,2,3,4,2,2,12,4,0,0,8,0
26,AR_16,2.285714286,1.142857143,1.142857143,1.142857143,2.285714286,0,1.142857143,0.571428571,1.142857143,0,0,0.857142857,0.571428571
27,AR_164,2.25,0,1,1,2,1,0.75,1,0.75,0,0,2,0
28,AR_169,3.555555556,1.333333333,1.333333333,1.333333333,2.666666667,0,0,0,2.666666667,0,0,2.666666667,0
29,AR_19,2.666666667,0,1.333333333,0,2.666666667,1.333333333,1.333333333,1.333333333,0.666666667,0,0,1.333333333,1.333333333
30,AR_195,6,0,0,2,4,0,0,0,1.5,0,0,2,0
31,AR_196,3,0,1.333333333,1.333333333,2.666666667,0.666666667,1,2.666666667,0,0,0,2.666666667,0
32,AR_197,4,0,2,2,4,0,2,2,1,0,0,1,0
33,AR_2,1.333333333,0,1.333333333,0.666666667,1.333333333,0.333333333,0.666666667,0.666666667,0.444444444,0,0,1.333333333,0
34,AR_21,4.666666667,0,2,0,2.666666667,2.666666667,0,8,3.333333333,0,0,2.666666667,0
35,AR_218,2.666666667,0,1.333333333,0,1.333333333,0.666666667,0.666666667,3.333333333,1,0,0,1.777777778,0
36,AR_256,7,2,2,2,4,2,0.73,8,4,0,0,3,0
37,AR_26,2.5,0.5,0.5,1,2,0,0.75,3,1,0,0,3,0
38,AR_27,4.333333333,2.666666667,0,1,1.333333333,0.666666667,2,2,0,0,0,1,0
39,AR_28,4.5,0,2,0,4,1,1.5,4,1.5,0,0,2,0
40,AR_280,1.5,0.25,0.75,0,0,0,0.5,0,0.5,0,0,0.5,0
41,AR_3,2.25,0,1,1,2,0,0.25,1,0.75,0,0,2,0
