month,day,year,day_of_year,date,zone,type_of_site,site.number1,number_of_visit,site,latitude,longitude,elevation,temperature,wind,band,species,sex,plumage,beak_length,beak_depth,beak_width,tarsus,wing,mass,pox_IUR,pox_scale,pox_lesion
3,18,2022,77,18-Mar-22,Puerto ayora-FCD,Bosque,0,0,El Barranco,-0.7386212,-90.3017273,0,NA,NA,SM301,medium,U,0,12.06,13.08,10.41,20.03,68,21.37,U,NA,NA
3,18,2022,77,18-Mar-22,Puerto ayora-FCD,Bosque,0,0,El Barranco,-0.7386212,-90.3017273,0,NA,NA,SM228,small,M,4,9.21,7.85,7.4,17,63,13.66,U,NA,NA
3,18,2022,77,18-Mar-22,Puerto ayora-FCD,Bosque,0,0,El Barranco,-0.7386212,-90.3017273,0,NA,NA,SM1302,cactus,M,5,12.77,10.03,8.7,19.8,70,21.52,U,NA,NA
3,18,2022,77,18-Mar-22,Puerto ayora-FCD,Bosque,0,0,El Barranco,-0.7386212,-90.3017273,0,NA,NA,SM229,small,M,4,9.02,7.55,7.47,16.93,64,9.71,U,NA,NA
3,18,2022,77,18-Mar-22,Puerto ayora-FCD,Bosque,0,0,El Barranco,-0.7386212,-90.3017273,0,NA,NA,SM1303,medium,F,0,14.1,13,11.69,19.1,74,26.33,R,NA,NA
3,18,2022,77,18-Mar-22,Puerto ayora-FCD,Bosque,0,0,El Barranco,-0.7386212,-90.3017273,0,NA,NA,SM1305,medium,U,0,11.96,11.61,9.52,18.62,64,20,U,NA,NA
3,19,2022,78,19-Mar-22,Santa Rosa,Bosque,1,1,Los Gemelos,-0.6238065,-90.3845436,610,NA,NA,SM238,small,M,3,8.49,7.92,7.35,18.06,61.5,15.27,U,NA,NA
3,20,2022,79,20-Mar-22,Santa Rosa,Bosque,2,1,Los Manzanillos,-0.6990964,-90.40245,160,23.5,0,SM241,small,M,5,8.27,7.03,6.36,17.19,62,14.98,R,NA,NA
3,20,2022,79,20-Mar-22,Santa Rosa,Bosque,2,1,Los Manzanillos,-0.6990964,-90.40245,160,23.5,0,SM242,small,M,1,8.82,7.19,6.16,17.27,64,14.59,U,NA,NA
3,20,2022,79,20-Mar-22,Santa Rosa,Bosque,2,1,Los Manzanillos,-0.6990964,-90.40245,160,23.5,0,SM243,small,U,0,8.95,7.42,6.61,16.01,60,14.18,U,NA,NA
3,20,2022,79,20-Mar-22,Santa Rosa,Bosque,2,1,Los Manzanillos,-0.6990964,-90.40245,160,23.5,0,SM246,small,M,5,9,7.2,6.32,17.74,63,12.97,U,NA,NA
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,27.2,0,SM248,small,M,3,8.53,7.3,6.07,17.59,61,13.07,U,NA,NA
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,27.2,0,SM249,small,M,5,8.3,7.58,7.16,17.83,62,13.16,R,NA,NA
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,27.2,0,SM250,small,F,0,8.46,7.15,6.34,16.12,57,13.74,U,NA,NA
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,27.2,0,SM253,small,U,0,8.63,6.89,6.63,16.71,59,11.6,R,NA,NA
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,27.2,0,SM254,small,M,5,9.5,7.63,6.36,15.75,65,13.56,U,NA,NA
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,27.2,0,SM255,medium,F,0,12.86,12.47,9.96,17.37,67,18.74,I,1,1.66
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,27.2,0,SM257,small,F,0,8.92,7.55,6.64,NA,NA,15.18,U,NA,NA
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,27.2,0,SM1312,medium,F,0,10.29,11.3,8.23,16.9,69,17.53,U,NA,NA
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,27.2,0,SM261,small,M,2,9.45,7.78,6.13,17.64,64,14.86,R,NA,NA
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,27.2,0,SM1314,medium,U,NA,12.75,13.18,11,19.9,76,25.5,R,NA,NA
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,27.2,0,SM265,small,U,0,8.46,7.95,6.76,17.47,56,15.09,U,NA,NA
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,27.2,0,SM266,small,F,0,8.16,6.88,6.04,17.1,59,14.28,U,NA,NA
3,22,2022,81,22-Mar-22,Cascajo,Agricola,4,1,Rosa Calva,-0.6731258,-90.2631579,240,25.1,0,SM269,small,F,0,9,7.5,6,17,62,14.95,U,NA,NA
3,22,2022,81,22-Mar-22,Cascajo,Agricola,4,1,Rosa Calva,-0.6731258,-90.2631579,240,25.1,0,SM272,small,M,5,9,8,7,22,62,13.5,R,NA,NA
3,22,2022,81,22-Mar-22,Cascajo,Agricola,4,1,Rosa Calva,-0.6731258,-90.2631579,240,25.1,0,SM273,small,F,0,8,7,6,22,59,13.3,U,NA,NA
3,22,2022,81,22-Mar-22,Cascajo,Agricola,4,1,Rosa Calva,-0.6731258,-90.2631579,240,25.1,0,SM276,small,M,1,10,7,6,18,61,15.92,R,NA,NA
3,24,2022,83,24-Mar-22,Santa Rosa,Agricola,5,1,Carmen Ramon,-0.6552219,-90.4075372,390,24,0,SM277,small,M,4,9.17,7.2,7.44,23.29,65,13.4,R,NA,NA
3,24,2022,83,24-Mar-22,Santa Rosa,Agricola,5,1,Carmen Ramon,-0.6552219,-90.4075372,390,24,0,SM278,small,M,3,8.06,7.5,7.51,21.09,63,13.18,U,NA,NA
3,24,2022,83,24-Mar-22,Santa Rosa,Agricola,5,1,Carmen Ramon,-0.6552219,-90.4075372,390,24,0,SM279,small,M,5,8.64,7.95,7.45,21.55,62,15.67,U,NA,NA
3,24,2022,83,24-Mar-22,Santa Rosa,Agricola,5,1,Carmen Ramon,-0.6552219,-90.4075372,390,24,0,SM280,small,M,5,9.02,7.5,7.02,20.67,62,14.6,R,NA,NA
3,24,2022,83,24-Mar-22,Santa Rosa,Agricola,5,1,Carmen Ramon,-0.6552219,-90.4075372,390,24,0,SM281,small,M,4,7.67,7.46,5.57,17.9,64,13.97,U,NA,NA
3,24,2022,83,24-Mar-22,Santa Rosa,Agricola,5,1,Carmen Ramon,-0.6552219,-90.4075372,390,24,0,SM282,small,F,0,7.74,7.02,5.05,16.77,58,13.91,R,NA,NA
3,24,2022,83,24-Mar-22,Santa Rosa,Agricola,5,1,Carmen Ramon,-0.6552219,-90.4075372,390,24,0,SM284,small,M,2,9.6,7.65,8.59,15.87,61,14.88,U,NA,NA
