name,gender,social_status,allegiance_switched,time.hrs,died,death_description
Waymar Royce,male,lowborn,1,0.1,1,Killed by a white walker in a forest
Gared Tuttle,male,lowborn,1,0.11,1,Decapitation by a white walker in a forest
Will,male,lowborn,1,0.19,1,Decapitation by Ned Stark (legal execution) in a field
Irri,female,lowborn,2,13.47,1,Strangled to death with a tassel by Doreah in a room in a castle in Qarth
Jon Snow,Male,highborn,2,63.99,0,NA
Bran Stark,Male,highborn,1,63.99,0,NA
Robb Stark,Male,highborn,1,24.34,1,Shot by arrows and stabbed in the abdomen in the wedding hall at The Twins
Rodrik Cassel,male,lowborn,1,12.7,1,Decapitated by Theon Greyjoy in Winterfell castle grounds
Rickon Stark,Male,highborn,1,49.15,1,Shot with an arrow through the thorax by Ramsay Bolton in field near Winterfell
Eddard Stark,Male,highborn,1,-7.67,1,Decapitated by Ilyn Payne on the steps of the Great Sept of Baelor
Catelyn Stark,female,highborn,1,24.34,1,Throat slit by Walder Frey in the wedding hall at The Twins
Mordane ,female,lowborn,1,7.63,1,Decapitated by The Lannisters at King's Landing
Sansa Stark,female,highborn,2,-63.98,0,NA
Arya Stark,female,highborn,2,63.98,0,NA
Jory Cassel,male,lowborn,1,4.16,1,Stabbed in the eye by Jamie Lannister in the streets of King's Landing
Theon Greyjoy,Male,highborn,2,60.09,1,"Impaled with a broken spear by the Night King, while defending Bran Stark, during the Battle of Winterfell"
Cersei Lannister,female,highborn,1,62.52,1,"Crushed by debris within the Red Keep, alongside Jaime Lannister, during the Battle of King's Landing"
Jaime Lannister,Male,highborn,2,62.52,1,"Crushed by debris within the Red Keep, alongside Cersei Lannister, during the Battle of King's Landing"
Luwin,male,lowborn,1,16.32,1,Stabbed (euthanised) by Osha in the forst near Winterfell
Joffrey Baratheon,Male,highborn,1,26.74,1,Poisoned with the Strangler at his wedding feast by Olenna Tyrell in King's Landing
Sandor Clegane,male,lowborn,2,62.31,1,"Threw himself into a fiery chasm, in order to kill his brother, Gregor Clegane, during the Battle of King's Landing"
