"band","year","treatment","mass","nest","nestling_fate","wing","site"
272107823,2018,"Control",18.8,"124","Fledged",40,"Unit_2"
272107824,2018,"Control",18.8,"124","Fledged",40,"Unit_2"
272106890,2018,"Control",17.8,"22","Fledged",47.5,"Unit_2"
272106891,2018,"Control",20.2,"22","Fledged",47.5,"Unit_2"
272106893,2018,"Control",20.2,"22","Fledged",51,"Unit_2"
272106894,2018,"Control",15.2,"22","Fledged",45.5,"Unit_2"
272106895,2018,"Control",20.3,"22","Fledged",49,"Unit_2"
272106825,2018,"Predation",20,"109","Fledged",39,"Unit_2"
272106826,2018,"Predation",18.6,"109","Fledged",31,"Unit_2"
272107430,2018,"Control",13,"95","Died",38,"Unit_2"
272107432,2018,"Control",18.5,"95","Fledged",48.5,"Unit_2"
272107431,2018,"Control",13,"95","Died",35.5,"Unit_2"
272107428,2018,"Control",9.8,"95","Died",38,"Unit_2"
272107429,2018,"Control",17,"95","Fledged",48,"Unit_2"
272107440,2018,"Predation",19.4,"80","Died",40,"Unit_2"
272107442,2018,"Predation",18.3,"80","Died",35,"Unit_2"
272107443,2018,"Predation",17.8,"80","Fledged",36,"Unit_2"
272107444,2018,"Predation",10,"80","Died",18,"Unit_2"
272107448,2018,"Predation",21.5,"86",NA,57.5,"Unit_2"
272107449,2018,"Predation",22.4,"86",NA,25.7,"Unit_2"
272107445,2018,"Predation",24.6,"86",NA,58,"Unit_2"
272107446,2018,"Predation",24.8,"86",NA,59,"Unit_2"
272107447,2018,"Predation",21.1,"86",NA,49,"Unit_2"
272106846,2018,"Control",24.5,"38","Fledged",57,"Unit_2"
272106847,2018,"Control",22.25,"38","Fledged",54,"Unit_2"
272106848,2018,"Control",23.5,"38","Fledged",53,"Unit_2"
272106849,2018,"Control",22.75,"38","Fledged",54,"Unit_2"
272106850,2018,"Control",22,"38","Fledged",48,"Unit_2"
272106832,2018,"Control",20.5,"8","Fledged",48,"Unit_2"
272106833,2018,"Control",24.25,"8","Fledged",51,"Unit_2"
272106834,2018,"Control",21,"8","Fledged",48,"Unit_2"
272106835,2018,"Control",22.25,"8","Fledged",48,"Unit_2"
272106836,2018,"Control",19,"12","Fledged",48,"Unit_2"
272106838,2018,"Control",23.5,"12","Fledged",67,"Unit_2"
272106839,2018,"Control",21,"12","Fledged",55,"Unit_2"
272106840,2018,"Control",22.5,"12","Fledged",54,"Unit_2"
272106841,2018,"Control",19.25,"12","Fledged",54,"Unit_2"
272106842,2018,"Control",20.5,"12","Fledged",57,"Unit_2"
156181129,2018,"Predation",21.5,"14","Fledged",39,"Unit_2"
156181130,2018,"Predation",21.75,"14","Died",43,"Unit_2"
156181131,2018,"Predation",20,"14","Fledged",43,"Unit_2"
272106843,2018,"Control",20.5,"34","Fledged",44,"Unit_2"
272106845,2018,"Control",15.25,"34","Fledged",33,"Unit_2"
272106837,2018,"Control",18,"34","Fledged",42,"Unit_2"
