"number_chicks_fledged_from_rear_nest","day_14_tarsus_length","day_14_weight","chick_survival_to_first_breed_season","net_rearing_manipulation","rear_nest_trt","rear_Cs_at_start_of_rearing","d14_rear_nest_brood_size","hatch_nest_LD","home_or_away","hatch_nest_CS","chick_sex_molec","hatch_year","rear_nest_breed_ID","rear_mom_Ring","rear_dad_Ring","hatch_mom_Ring","genetic_dad_ring_.WP_or_EP.","rear_area","rear_Box"
12,16.6,8,"0",3,"5",12,12,15,"2",10,"2","2001",201167,"P803005","P803006","P803008",NA,"C","C26"
12,15.5,8.1,"0",3,"5",12,12,15,"2",10,"2","2001",201167,"P803005","P803006","P803008","P803007","C","C26"
12,17.1,10.3,"0",3,"5",12,12,14,"1",10,"2","2001",201167,"P803005","P803006","P803005","P803006","C","C26"
12,17.6,8.4,"0",3,"5",12,12,15,"2",10,"1","2001",201167,"P803005","P803006","P803008","P803007","C","C26"
12,16.3,8.1,"0",3,"5",12,12,14,"1",10,"1","2001",201167,"P803005","P803006","P803005","P803006","C","C26"
12,16.4,8.4,"0",3,"5",12,12,15,"2",10,"2","2001",201167,"P803005","P803006","P803008","P803007","C","C26"
12,17.7,9.7,"0",3,"5",12,12,15,"2",10,"1","2001",201167,"P803005","P803006","P803008","P803007","C","C26"
12,16.8,8,"0",3,"5",12,12,15,"2",10,"1","2001",201167,"P803005","P803006","P803008","P803007","C","C26"
12,16.6,8.3,"0",3,"5",12,12,14,"1",10,"2","2001",201167,"P803005","P803006","P803005","P803012","C","C26"
12,15.6,6.5,"0",3,"5",12,12,15,"2",10,"2","2001",201167,"P803005","P803006","P803008","P803007","C","C26"
12,16.7,8,"0",3,"5",12,12,14,"1",10,"2","2001",201167,"P803005","P803006","P803005","P803006","C","C26"
12,17.2,9.1,"0",3,"5",12,12,14,"1",10,"2","2001",201167,"P803005","P803006","P803005","P803006","C","C26"
7,18.2,10.8,"0",-3,"6",7,7,15,"1",10,"2","2001",201194,"P803008","P803007","P803008","P803007","C","C130"
7,16.7,10.6,"0",-3,"6",7,7,14,"2",10,"1","2001",201194,"P803008","P803007","P803005","P803006","C","C130"
7,17,9.3,"0",-3,"6",7,7,14,"2",10,"2","2001",201194,"P803008","P803007","P803005","P804790","C","C130"
7,16.8,10.9,"0",-3,"6",7,7,14,"2",10,"1","2001",201194,"P803008","P803007","P803005","P803006","C","C130"
7,17.6,10.8,"0",-3,"6",7,7,15,"1",10,"2","2001",201194,"P803008","P803007","P803008","P803007","C","C130"
7,18.1,11.2,"1",-3,"6",7,7,15,"1",10,"2","2001",201194,"P803008","P803007","P803008","P803007","C","C130"
7,17.3,10.2,"0",-3,"6",7,7,14,"2",10,"2","2001",201194,"P803008","P803007","P803005","P803012","C","C130"
7,16.7,11.2,"0",0,"7",7,7,15,"1",7,NA,"2001",201174,"P803010","P803009","P803010","P803009","C","C46"
7,16.9,10.2,"0",0,"7",7,7,15,"1",7,NA,"2001",201174,"P803010","P803009","P803010","P803009","C","C46"
7,16.6,10.4,"0",0,"7",7,7,15,"1",7,NA,"2001",201174,"P803010","P803009","P803010","P803009","C","C46"
7,18,11.2,"0",0,"7",7,7,15,"1",7,NA,"2001",201174,"P803010","P803009","P803010","P803009","C","C46"
7,17.3,10.7,"0",0,"7",7,7,15,"1",7,NA,"2001",201174,"P803010","P803009","P803010","P803009","C","C46"
7,16.8,10.4,"0",0,"7",7,7,15,"1",7,NA,"2001",201174,"P803010","P803009","P803010","P803009","C","C46"
7,17.2,11.2,"0",0,"7",7,7,15,"1",7,NA,"2001",201174,"P803010","P803009","P803010","P803009","C","C46"
7,17.8,11.3,"1",-1,"6",10,7,16,"2",11,"2","2001",201417,"P803018","P803019",NA,NA,"W","W43"
7,16.8,10.6,"0",-1,"6",10,7,13,"1",13,"1","2001",201417,"P803018","P803019","P803018","P803019","W","W43"
7,16.4,9.6,"0",-1,"6",10,7,13,"1",13,"1","2001",201417,"P803018","P803019","P803018","P803019","W","W43"
7,16.8,9.9,"0",-1,"6",10,7,13,"1",13,"1","2001",201417,"P803018","P803019","P803018","P803019","W","W43"
7,17.7,10.4,"0",-1,"6",10,7,16,"2",11,"2","2001",201417,"P803018","P803019",NA,NA,"W","W43"
7,17.2,9.9,"0",-1,"6",10,7,16,"2",11,"2","2001",201417,"P803018","P803019",NA,NA,"W","W43"
7,17.2,10.3,"0",-1,"6",10,7,16,"2",11,"1","2001",201417,"P803018","P803019",NA,NA,"W","W43"
14,17.9,9.5,"0",3,"5",14,14,15,"2",12,"2","2001",201123,NA,"P803015","P803016","P803017","B","B100"
14,16,8.5,"0",3,"5",14,14,15,"2",12,"1","2001",201123,NA,"P803015","P803016","P803017","B","B100"
14,16.3,7.9,"0",3,"5",14,14,12,"1",12,"1","2001",201123,NA,"P803015",NA,"P803015","B","B100"
14,15.8,8,"0",3,"5",14,14,12,"1",12,"1","2001",201123,NA,"P803015",NA,"P803015","B","B100"
14,17.3,8.8,"0",3,"5",14,14,15,"2",12,"2","2001",201123,NA,"P803015","P803016","P803017","B","B100"
14,16.5,9,"0",3,"5",14,14,12,"1",12,"2","2001",201123,NA,"P803015",NA,"P803015","B","B100"
14,16.1,8.3,"0",3,"5",14,14,12,"1",12,"2","2001",201123,NA,"P803015",NA,"P803015","B","B100"
14,16.1,8.5,"0",3,"5",14,14,12,"1",12,"1","2001",201123,NA,"P803015",NA,"P803015","B","B100"
14,16.6,8.2,"0",3,"5",14,14,15,"2",12,"1","2001",201123,NA,"P803015","P803016","P803017","B","B100"
14,16.7,9.3,"0",3,"5",14,14,12,"1",12,"2","2001",201123,NA,"P803015",NA,NA,"B","B100"
14,16.6,9.8,"0",3,"5",14,14,15,"2",12,"1","2001",201123,NA,"P803015","P803016","P803017","B","B100"
14,16.2,7.4,"0",3,"5",14,14,12,"1",12,"2","2001",201123,NA,"P803015",NA,"P803015","B","B100"
14,16.6,8.4,"0",3,"5",14,14,15,"2",12,"1","2001",201123,NA,"P803015","P803016","P803017","B","B100"
14,17.1,9,"0",3,"5",14,14,15,"2",12,"2","2001",201123,NA,"P803015","P803016","P803017","B","B100"
8,16.7,11.5,"1",-3,"6",8,8,12,"2",12,"1","2001",201288,"P803016","P803017",NA,NA,"MP","MP55"
8,17.2,10.8,"0",-3,"6",8,8,15,"1",12,"1","2001",201288,"P803016","P803017","P803016","P803017","MP","MP55"
8,17.8,12.2,"0",-3,"6",8,8,12,"2",12,"2","2001",201288,"P803016","P803017",NA,"P803015","MP","MP55"
8,17.1,10.9,"0",-3,"6",8,8,12,"2",12,"1","2001",201288,"P803016","P803017",NA,"P803015","MP","MP55"
8,18.1,11.8,"1",-3,"6",8,8,15,"1",12,"2","2001",201288,"P803016","P803017","P803016","P803017","MP","MP55"
8,17.2,11.4,"0",-3,"6",8,8,12,"2",12,"1","2001",201288,"P803016","P803017",NA,"P803015","MP","MP55"
8,17.2,11.3,"0",-3,"6",8,8,15,"1",12,"1","2001",201288,"P803016","P803017","P803016","P803017","MP","MP55"
8,17.2,12.1,"0",-3,"6",8,8,15,"1",12,"2","2001",201288,"P803016","P803017","P803016","P803017","MP","MP55"
5,17.32,8.7,"0",0,"7",6,5,21,"1",9,NA,"2001",201319,"P803035",NA,"P803035",NA,"O","O27"
5,16.9,9.4,"0",0,"7",6,5,21,"1",9,NA,"2001",201319,"P803035",NA,"P803035",NA,"O","O27"
5,16.9,8.2,"0",0,"7",6,5,21,"1",9,NA,"2001",201319,"P803035",NA,"P803035",NA,"O","O27"
5,16.4,8.4,"0",0,"7",6,5,21,"1",9,NA,"2001",201319,"P803035",NA,"P803035",NA,"O","O27"
5,18.1,10,"0",0,"7",6,5,21,"1",9,NA,"2001",201319,"P803035",NA,"P803035",NA,"O","O27"
6,17.9,10.1,"0",-3,"6",7,6,21,"2",9,"1","2001",201393,"P803040",NA,NA,NA,"SW","SW113"
6,17.8,11.6,"0",-3,"6",7,6,21,"2",9,"2","2001",201393,"P803040",NA,NA,NA,"SW","SW113"
6,17.5,10.3,"0",-3,"6",7,6,19,"1",10,NA,"2001",201393,"P803040",NA,"P803040",NA,"SW","SW113"
6,18,11.5,"0",-3,"6",7,6,21,"2",9,"2","2001",201393,"P803040",NA,NA,NA,"SW","SW113"
6,16.4,8.7,"0",-3,"6",7,6,19,"1",10,NA,"2001",201393,"P803040",NA,"P803040",NA,"SW","SW113"
6,16.3,8.8,"0",-3,"6",7,6,19,"1",10,NA,"2001",201393,"P803040",NA,"P803040",NA,"SW","SW113"
12,16.5,11.1,"0",0,"7",12,12,15,"1",12,"1","2001",201145,"P803043","K604560","P803043","K604560","B","B194"
12,17.4,11.7,"1",0,"7",12,12,15,"1",12,"2","2001",201145,"P803043","K604560","P803043","K604560","B","B194"
12,16.5,10.9,"0",0,"7",12,12,15,"1",12,"1","2001",201145,"P803043","K604560","P803043","K604560","B","B194"
12,17.4,11.5,"0",0,"7",12,12,15,"1",12,"2","2001",201145,"P803043","K604560","P803043","K604560","B","B194"
12,16.8,11.2,"0",0,"7",12,12,15,"1",12,"1","2001",201145,"P803043","K604560","P803043","K604560","B","B194"
12,16.6,11,"0",0,"7",12,12,15,"1",12,"1","2001",201145,"P803043","K604560","P803043","K604560","B","B194"
12,16.4,10.8,"0",0,"7",12,12,15,"1",12,"1","2001",201145,"P803043","K604560","P803043",NA,"B","B194"
12,16.7,11.2,"0",0,"7",12,12,15,"1",12,"1","2001",201145,"P803043","K604560","P803043","K604560","B","B194"
12,17.4,11.1,"0",0,"7",12,12,15,"1",12,"2","2001",201145,"P803043","K604560","P803043",NA,"B","B194"
12,17.7,11.2,"1",0,"7",12,12,15,"1",12,"2","2001",201145,"P803043","K604560","P803043","K604560","B","B194"
12,17.6,10.2,"0",0,"7",12,12,15,"1",12,"2","2001",201145,"P803043","K604560","P803043","K604560","B","B194"
12,16.8,10.8,"0",0,"7",12,12,15,"1",12,"1","2001",201145,"P803043","K604560","P803043","K604560","B","B194"
2,17.5,11.5,"0",0,"7",2,2,18,"1",3,NA,"2001",201414,"P803056",NA,"P803056",NA,"W","W37"
2,17.1,10.6,"0",0,"7",2,2,18,"1",3,NA,"2001",201414,"P803056",NA,"P803056",NA,"W","W37"
13,16,9.6,"0",3,"5",16,13,18,"1",14,"1","2001",201260,"P803087","P803086","P803087","P803086","E","E51B"
13,17.2,11.3,"0",3,"5",16,13,18,"2",15,"1","2001",201260,"P803087","P803086",NA,NA,"E","E51B"
13,17.3,11.8,"0",3,"5",16,13,18,"2",15,"2","2001",201260,"P803087","P803086",NA,NA,"E","E51B"
13,16.8,10.8,"0",3,"5",16,13,18,"2",15,"1","2001",201260,"P803087","P803086",NA,NA,"E","E51B"
13,16.8,10.4,"0",3,"5",16,13,18,"2",15,"1","2001",201260,"P803087","P803086",NA,NA,"E","E51B"
13,16.7,9.9,"0",3,"5",16,13,18,"1",14,"2","2001",201260,"P803087","P803086","P803087","P803086","E","E51B"
13,16.7,10.3,"0",3,"5",16,13,18,"2",15,"1","2001",201260,"P803087","P803086",NA,NA,"E","E51B"
13,18.3,11.5,"0",3,"5",16,13,18,"2",15,"2","2001",201260,"P803087","P803086",NA,NA,"E","E51B"
13,16.9,11.2,"0",3,"5",16,13,18,"1",14,"2","2001",201260,"P803087","P803086","P803087","P803086","E","E51B"
13,16.4,10.1,"0",3,"5",16,13,18,"1",14,"1","2001",201260,"P803087","P803086","P803087","P803086","E","E51B"
13,16.5,9.7,"0",3,"5",16,13,18,"2",15,"1","2001",201260,"P803087","P803086",NA,NA,"E","E51B"
13,16.2,10,"1",3,"5",16,13,18,"1",14,"1","2001",201260,"P803087","P803086","P803087","P803086","E","E51B"
7,16.8,10.8,"0",-3,"6",8,7,20,"2",9,"1","2001",201225,"P803102","P803078","P803080","P803081","CP","CP40A"
7,17.3,11.4,"0",-3,"6",8,7,20,"2",9,"2","2001",201225,"P803102","P803078","P803080","P803081","CP","CP40A"
7,16.3,11.2,"0",-3,"6",8,7,20,"2",9,"1","2001",201225,"P803102","P803078","P803080","P803081","CP","CP40A"
7,17.3,12.1,"0",-3,"6",8,7,21,"1",12,"2","2001",201225,"P803102","P803078","P803102",NA,"CP","CP40A"
7,17.2,11.2,"0",-3,"6",8,7,21,"1",12,"2","2001",201225,"P803102","P803078","P803102","P803078","CP","CP40A"
7,17.2,11.3,"0",-3,"6",8,7,21,"1",12,"1","2001",201225,"P803102","P803078","P803102","P803078","CP","CP40A"
